UserID,ProductID,Rating,Timestamp,Category
U000,P0009,5,2024-09-08,Books
U000,P0020,1,2024-09-02,Home
U000,P0012,4,2024-10-18,Books
U000,P0013,1,2024-09-18,Clothing
U000,P0070,4,2024-09-16,Toys
U000,P0014,1,2024-09-15,Home
U000,P0048,5,2024-09-09,Toys
U000,P0079,4,2024-10-18,Electronics
U000,P0042,3,2024-09-07,Toys
U000,P0050,1,2024-10-14,Clothing
U000,P0046,1,2024-10-18,Toys
U000,P0021,4,2024-10-28,Electronics
U000,P0028,3,2024-10-05,Books
U000,P0047,3,2024-09-06,Clothing
U000,P0005,5,2024-10-08,Toys
U000,P0003,3,2024-09-28,Electronics
U000,P0007,3,2024-09-03,Books
U000,P0071,3,2024-09-02,Toys
U000,P0044,2,2024-09-06,Books
U000,P0033,5,2024-09-14,Books
U001,P0051,4,2024-10-03,Clothing
U001,P0055,2,2024-10-09,Clothing
U001,P0095,3,2024-09-02,Books
U001,P0033,1,2024-10-06,Books
U001,P0002,3,2024-09-13,Electronics
U001,P0054,4,2024-10-16,Toys
U001,P0050,2,2024-10-12,Clothing
U001,P0020,2,2024-10-15,Home
U001,P0091,5,2024-10-05,Electronics
U001,P0086,2,2024-09-27,Clothing
U001,P0030,5,2024-09-15,Books
U001,P0044,1,2024-09-29,Books
U001,P0037,4,2024-10-08,Beauty
U002,P0083,4,2024-10-22,Beauty
U002,P0081,2,2024-10-26,Electronics
U002,P0020,1,2024-09-01,Home
U002,P0005,5,2024-10-19,Toys
U002,P0049,4,2024-10-22,Beauty
U002,P0071,1,2024-09-11,Toys
U002,P0054,5,2024-10-15,Toys
U002,P0086,1,2024-09-28,Clothing
U002,P0014,3,2024-09-22,Home
U002,P0067,1,2024-09-18,Toys
U002,P0059,1,2024-09-10,Toys
U002,P0052,1,2024-09-14,Books
U002,P0085,4,2024-10-19,Toys
U002,P0072,1,2024-09-22,Beauty
U003,P0097,1,2024-09-06,Toys
U003,P0053,2,2024-09-25,Clothing
U003,P0032,1,2024-09-07,Beauty
U003,P0023,1,2024-09-23,Clothing
U003,P0046,1,2024-10-25,Toys
U003,P0078,5,2024-09-23,Beauty
U003,P0040,3,2024-10-09,Home
U003,P0065,1,2024-09-17,Clothing
U003,P0010,3,2024-10-22,Books
U003,P0089,4,2024-09-03,Beauty
U003,P0014,2,2024-10-17,Home
U004,P0052,4,2024-10-05,Books
U004,P0092,5,2024-09-08,Beauty
U004,P0019,3,2024-10-30,Toys
U004,P0077,1,2024-09-25,Electronics
U004,P0083,1,2024-09-06,Beauty
U004,P0050,5,2024-10-06,Clothing
U004,P0043,5,2024-09-19,Clothing
U004,P0086,2,2024-10-24,Clothing
U004,P0044,3,2024-10-11,Books
U004,P0099,3,2024-10-10,Beauty
U004,P0098,4,2024-10-27,Books
U004,P0088,2,2024-10-26,Books
U004,P0006,2,2024-09-24,Books
U004,P0058,2,2024-10-07,Beauty
U004,P0014,2,2024-09-13,Home
U004,P0011,3,2024-10-16,Electronics
U004,P0001,3,2024-09-05,Electronics
U005,P0044,1,2024-10-13,Books
U005,P0036,1,2024-09-15,Home
U005,P0089,2,2024-10-20,Beauty
U005,P0069,4,2024-09-19,Toys
U005,P0063,1,2024-09-06,Beauty
U005,P0034,1,2024-10-25,Electronics
U005,P0072,5,2024-09-15,Beauty
U005,P0048,4,2024-10-26,Toys
U005,P0056,1,2024-09-07,Books
U005,P0098,4,2024-09-25,Books
U006,P0015,5,2024-09-30,Home
U006,P0070,4,2024-10-11,Toys
U006,P0036,4,2024-10-24,Home
U006,P0031,2,2024-09-24,Clothing
U006,P0006,5,2024-09-11,Books
U006,P0022,3,2024-09-24,Beauty
U006,P0024,1,2024-09-23,Books
U006,P0038,2,2024-09-14,Books
U006,P0079,4,2024-10-13,Electronics
U006,P0076,3,2024-09-18,Toys
U006,P0065,3,2024-10-15,Clothing
U006,P0064,1,2024-10-30,Electronics
U006,P0059,4,2024-10-14,Toys
U006,P0016,5,2024-10-12,Electronics
U007,P0076,4,2024-10-09,Toys
U007,P0047,4,2024-10-11,Clothing
U007,P0020,4,2024-09-11,Home
U007,P0002,5,2024-10-05,Electronics
U007,P0008,5,2024-10-17,Electronics
U007,P0000,2,2024-09-16,Clothing
U007,P0073,1,2024-09-11,Beauty
U007,P0080,4,2024-09-30,Electronics
U007,P0088,2,2024-09-25,Books
U007,P0093,1,2024-09-18,Clothing
U007,P0072,3,2024-10-30,Beauty
U008,P0074,2,2024-10-15,Books
U008,P0009,4,2024-10-06,Books
U008,P0098,1,2024-09-15,Books
U008,P0088,4,2024-10-14,Books
U008,P0075,2,2024-09-21,Home
U008,P0094,5,2024-10-24,Electronics
U008,P0004,1,2024-10-20,Electronics
U008,P0030,1,2024-10-20,Books
U008,P0065,3,2024-09-04,Clothing
U008,P0003,3,2024-09-15,Electronics
U008,P0002,5,2024-10-23,Electronics
U008,P0036,1,2024-09-03,Home
U008,P0044,5,2024-10-22,Books
U008,P0038,3,2024-09-21,Books
U008,P0011,3,2024-09-26,Electronics
U008,P0055,1,2024-09-18,Clothing
U008,P0064,4,2024-09-05,Electronics
U008,P0079,2,2024-09-14,Electronics
U008,P0013,3,2024-10-29,Clothing
U008,P0068,3,2024-10-31,Toys
U009,P0002,1,2024-10-27,Electronics
U009,P0063,3,2024-10-16,Beauty
U009,P0048,5,2024-09-21,Toys
U009,P0087,4,2024-09-14,Electronics
U009,P0099,3,2024-10-12,Beauty
U009,P0080,2,2024-10-02,Electronics
U009,P0083,5,2024-09-26,Beauty
U009,P0098,5,2024-10-27,Books
U009,P0014,3,2024-10-29,Home
U009,P0078,3,2024-10-12,Beauty
U009,P0070,4,2024-09-30,Toys
U009,P0088,1,2024-09-10,Books
U009,P0058,3,2024-09-17,Beauty
U009,P0027,3,2024-09-09,Books
U009,P0012,2,2024-09-16,Books
U009,P0040,5,2024-10-18,Home
U009,P0042,1,2024-10-06,Toys
U009,P0007,2,2024-10-05,Books
U009,P0082,4,2024-09-17,Books
U010,P0033,5,2024-09-28,Books
U010,P0083,5,2024-10-28,Beauty
U010,P0045,2,2024-10-08,Electronics
U010,P0098,3,2024-09-26,Books
U010,P0077,3,2024-09-24,Electronics
U010,P0053,4,2024-09-15,Clothing
U010,P0062,5,2024-09-09,Clothing
U010,P0099,1,2024-10-03,Beauty
U010,P0070,5,2024-10-02,Toys
U010,P0052,5,2024-09-06,Books
U010,P0088,4,2024-10-19,Books
U010,P0047,1,2024-09-04,Clothing
U010,P0051,4,2024-10-26,Clothing
U010,P0057,1,2024-09-08,Books
U010,P0005,2,2024-09-10,Toys
U010,P0026,1,2024-10-11,Beauty
U010,P0003,4,2024-09-11,Electronics
U010,P0032,5,2024-10-21,Beauty
U010,P0086,1,2024-10-14,Clothing
U011,P0006,4,2024-10-09,Books
U011,P0000,5,2024-09-05,Clothing
U011,P0030,4,2024-09-25,Books
U011,P0074,5,2024-09-25,Books
U011,P0073,5,2024-10-09,Beauty
U011,P0094,1,2024-09-30,Electronics
U011,P0021,2,2024-10-04,Electronics
U011,P0018,5,2024-09-17,Electronics
U011,P0049,5,2024-10-06,Beauty
U011,P0015,3,2024-10-26,Home
U011,P0020,2,2024-10-31,Home
U011,P0054,3,2024-09-01,Toys
U011,P0026,2,2024-10-14,Beauty
U011,P0063,3,2024-10-17,Beauty
U011,P0039,5,2024-09-08,Electronics
U011,P0007,5,2024-10-14,Books
U012,P0095,5,2024-10-19,Books
U012,P0025,1,2024-09-18,Toys
U012,P0050,5,2024-10-20,Clothing
U012,P0020,5,2024-10-12,Home
U012,P0008,3,2024-09-22,Electronics
U012,P0074,4,2024-09-08,Books
U012,P0007,2,2024-09-19,Books
U012,P0067,4,2024-09-28,Toys
U012,P0015,3,2024-09-11,Home
U012,P0093,3,2024-09-30,Clothing
U012,P0075,3,2024-09-01,Home
U012,P0051,1,2024-10-17,Clothing
U012,P0054,4,2024-10-27,Toys
U012,P0010,4,2024-10-17,Books
U012,P0064,5,2024-09-17,Electronics
U012,P0061,5,2024-10-03,Home
U012,P0046,5,2024-10-19,Toys
U012,P0002,3,2024-09-12,Electronics
U013,P0003,2,2024-10-29,Electronics
U013,P0062,2,2024-09-07,Clothing
U013,P0072,2,2024-10-26,Beauty
U013,P0055,2,2024-10-11,Clothing
U013,P0032,2,2024-09-20,Beauty
U013,P0070,2,2024-10-24,Toys
U013,P0004,4,2024-10-11,Electronics
U013,P0022,1,2024-10-03,Beauty
U013,P0036,3,2024-10-09,Home
U013,P0042,5,2024-09-13,Toys
U013,P0066,3,2024-09-10,Beauty
U013,P0025,3,2024-09-24,Toys
U013,P0039,1,2024-10-19,Electronics
U013,P0046,1,2024-09-11,Toys
U013,P0051,1,2024-10-05,Clothing
U013,P0009,2,2024-10-20,Books
U013,P0087,4,2024-10-30,Electronics
U013,P0015,2,2024-10-04,Home
U014,P0038,5,2024-10-09,Books
U014,P0022,1,2024-09-21,Beauty
U014,P0015,4,2024-10-02,Home
U014,P0010,2,2024-09-02,Books
U014,P0070,1,2024-09-08,Toys
U014,P0016,3,2024-10-30,Electronics
U014,P0051,1,2024-09-24,Clothing
U014,P0008,1,2024-10-27,Electronics
U014,P0004,4,2024-10-24,Electronics
U014,P0039,2,2024-10-22,Electronics
U015,P0037,1,2024-09-16,Beauty
U015,P0097,4,2024-09-04,Toys
U015,P0002,1,2024-09-16,Electronics
U015,P0003,1,2024-10-27,Electronics
U015,P0088,3,2024-10-07,Books
U015,P0072,5,2024-10-31,Beauty
U015,P0093,5,2024-09-06,Clothing
U015,P0054,1,2024-09-06,Toys
U015,P0060,2,2024-10-17,Home
U015,P0051,4,2024-10-02,Clothing
U015,P0076,2,2024-10-23,Toys
U015,P0006,2,2024-09-05,Books
U015,P0021,1,2024-10-19,Electronics
U015,P0065,1,2024-10-05,Clothing
U016,P0050,1,2024-09-09,Clothing
U016,P0054,2,2024-10-13,Toys
U016,P0051,5,2024-10-01,Clothing
U016,P0006,2,2024-10-31,Books
U016,P0093,4,2024-10-06,Clothing
U016,P0098,4,2024-09-11,Books
U016,P0038,4,2024-09-17,Books
U016,P0099,1,2024-10-04,Beauty
U016,P0078,4,2024-10-26,Beauty
U016,P0016,5,2024-10-09,Electronics
U016,P0017,2,2024-09-28,Toys
